NPI,Entity Type Code,Provider Organization Name (Legal Business Name),Provider First Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Provider Business Practice Location Address Telephone Number,NPI Deactivation Reason Code,NPI Deactivation Date,NPI Reactivation Date,Healthcare Provider Taxonomy Code_1,Healthcare Provider Primary Taxonomy Switch_1,Healthcare Provider Taxonomy Code_2,Healthcare Provider Primary Taxonomy Switch_2,Healthcare Provider Taxonomy Code_3,Healthcare Provider Primary Taxonomy Switch_3,Healthcare Provider Taxonomy Code_4,Healthcare Provider Primary Taxonomy Switch_4,Healthcare Provider Taxonomy Code_5,Healthcare Provider Primary Taxonomy Switch_5,Healthcare Provider Taxonomy Code_6,Healthcare Provider Primary Taxonomy Switch_6,Healthcare Provider Taxonomy Code_7,Healthcare Provider Primary Taxonomy Switch_7,Healthcare Provider Taxonomy Code_8,Healthcare Provider Primary Taxonomy Switch_8,Healthcare Provider Taxonomy Code_9,Healthcare Provider Primary Taxonomy Switch_9,Healthcare Provider Taxonomy Code_10,Healthcare Provider Primary Taxonomy Switch_10,Healthcare Provider Taxonomy Code_11,Healthcare Provider Primary Taxonomy Switch_11,Healthcare Provider Taxonomy Code_12,Healthcare Provider Primary Taxonomy Switch_12,Healthcare Provider Taxonomy Code_13,Healthcare Provider Primary Taxonomy Switch_13,Healthcare Provider Taxonomy Code_14,Healthcare Provider Primary Taxonomy Switch_14,Healthcare Provider Taxonomy Code_15,Healthcare Provider Primary Taxonomy Switch_15
1396773958,2,YOUNG'S ORTHOPEDICS. INC,2299 N ARROWHEAD AVE,SAN BERNARDINO,CA,924053709,9094740500,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477732865,2,HAIR DESIGN CENTER,1320 N HIGHLAND AVE,HOLLYWOOD,CA,900287609,3238564247,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659551703,2,"ALTHEA'S, INC.",2320 E MAIN ST,VENTURA,CA,930032602,8056433537,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518147289,2,"PRECISION MEDICAL, INC.",4424 44TH ST,SAN DIEGO,CA,921154300,6198231534,,,,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1598946410,2,DIRECT THERAPY,689 W FOOTHILL BLVD STE B,CLAREMONT,CA,917113400,9096248244,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073794897,2,SAVAKOR INC.,637 W COMPTON BLVD,COMPTON,CA,902203012,3137644976,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730212036,2,WELCH'S SHOE REPAIR,41819 E FLORIDA AVE,HEMET,CA,92544,9516582383,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659553907,2,PVO HELTHCARE INC,367 ERVILLA ST,POMONA,CA,917673022,9096297615,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1457533531,2,"COASTAL ORTHOTIC AND PROSTHETIC SERVICES, INC",2365 HARRISON AVE,EUREKA,CA,955013216,7074453111,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063695633,2,ITALY SHOES AND BOUTIQUE,11815 SOUTH ST,CERRITOS,CA,907036825,5628604634,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346423639,2,"STEVEN R. YOUNG, OCULARIST, INC.",411 30TH ST,OAKLAND,CA,946093301,5108362123,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699821058,2,CENTER FOR INDEPEND REHAB,1134 PLUMAS STREET,YUBA CITY,CA,95991,5308229400,,,,225000000X,N,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1730362427,2,OPTION ONE PATIENT CARE,1207 VALLEY VIEW RD,GLENDALE,CA,912021745,8185312731,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952346298,2,"TERRAPIN TECHNOLOGIES, INC",1508 CABRILLO AVE,TORRANCE,CA,905012801,3102123067,,,,224P00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1639354004,2,"PACIFIC FOOT & ANKLE SPECIALISTS, INC.",1125 E 17TH ST,SANTA ANA,CA,927012201,7145420656,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154352391,2,"BAKERSFIELD PROSTHETICS & ORTHOTICS CENTER, INC.",2023 TRUXTUN AVE,BAKERSFIELD,CA,933015012,6612812127,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730364878,2,"EMPICARE, INC.",3434 VILLA LN,NAPA,CA,945586405,7072243674,,,,332B00000X,N,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1689856833,2,TIMOTHY D. BULGARELLI,24811 SAN FERNANDO RD,SANTA CLARITA,CA,913214133,6612548461,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578566816,2,SUNNY HILLS ORTHOPEDIC SERVICES INC.,332 E COMMONWEALTH AVE,FULLERTON,CA,928322017,7147384769,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649456187,2,"VENTURA PROSTHETICS& ORTHOTICS, INC.",2324 N BATAVIA ST,ORANGE,CA,928652019,7143573940,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447389291,2,"NOSE BRACE, INC.",650 S WINCHESTER BLVD,SAN JOSE,CA,951282524,4082494047,,,,332B00000X,N,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1043353972,2,MIKE T MARTINEZ,2222 WATT AVE,SACRAMENTO,CA,958250581,9164881478,,,,222Z00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346426954,2,LAURENCE OF OAKLAND,2190 MERIDIAN PARK BLVD STE E,CONCORD,CA,945205715,9258272062,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568509669,2,"DYNAMICS ORTHOTICS & PROSTHETICS, INC.",1830 W OLYMPIC BLVD,LOS ANGELES,CA,900063734,2133839212,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417126780,2,WNC MEDICAL SUPPLY LLC,3705 BEACON AVE STE 200,FREMONT,CA,945381467,5107965555,,,,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1356451462,2,MEACHAM ENT INC,323 W CROMWELL,FRESNO,CA,937115844,5594384488,,,,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1366611212,2,UNIVERSAL SUMMIT GROUP INC.,5880 DISTRICT BLVD STE 5.5,BAKERSFIELD,CA,933132102,4083358744,,,,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1376712224,2,MOSSPARK ASSOCIATES INC,1664 ALUM ROCK AVE,SAN JOSE,CA,951162437,4083358744,,,,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1295904308,2,"PARK MEDICAL PHYSICAL THERAPY, PROF CORP",4120 W POINT LOMA BLVD,SAN DIEGO,CA,921105605,6192972544,,,,332BC3200X,N,332B00000X,N,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,
1083755052,2,"HBM CREATIVE - FS PASADENA, INC.",939 W HUNTINGTON DR,MONROVIA,CA,910163111,6263583668,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538338033,2,"ALL CITIES ORTHOPEDICS, INC",11101 ATLANTIC AVE,LYNWOOD,CA,902623003,3106389806,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730253444,2,CURECARE MEDICAL EQUIP & SUP,631 S PALM,LA HABRA,CA,90631,5626975727,,,,332B00000X,N,332BX2000X,N,332BX2000X,N,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,
1366620015,2,FERNANDO J NUNEZ,9102 FIRESTONE BLVD,DOWNEY,CA,902415348,5628624711,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518138080,2,ALLAM DALATI,1080 MASON MALL STE 6C,CRESCENT CITY,CA,955314335,7074651111,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336317403,2,NKEM IHEANAJU,1300 E 223RD ST,CARSON,CA,907454355,3102215310,,,,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1255387981,2,WEST COAST PROSTHETICS LLC,95 QUINTA CT,SACRAMENTO,CA,958234302,9166897528,,,,332B00000X,N,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1053378802,2,"FREMONT ARTIFICIAL LIMB & BRACE, INC.",1999 MOWRY AVE,FREMONT,CA,945381723,5107923475,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467461343,2,RICK L WOODLAND,2310 HOMESTEAD RD STE I,LOS ALTOS,CA,940247339,4086170066,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720261118,2,RUSSELL A. GROOTEGOED DPM,601 W 9TH ST,SAN PEDRO,CA,907313107,3108333583,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841211992,2,WEST COAST ORTHOTIC & PROSTHETIC SERVICES INC,3215 N CALIFORNIA ST,STOCKTON,CA,95204,2099424166,,,,335E00000X,N,225000000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1831394808,2,FOOTCARE SPECIALISTS INC,39 N SAN MATEO DR,SAN MATEO,CA,944012885,6503437775,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306018171,2,NORTHBAY PROSTHETICS AND ORTHOTICS LLC,3260 BEARD RD,NAPA,CA,945583423,7072547010,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184891889,2,"KING PROSTHETICS & ORTHOTICS, INC.",12849 CHAPMAN AVE,GARDEN GROVE,CA,928404100,7149717221,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922265628,2,AMERICAN FOOT COMFORT CENTER,1670 MYRTLE AVE,EUREKA,CA,955011403,7074458690,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205003563,2,STELLAR PROSTHETICS AND ORTHOTICS,753 S ARROYO PKWY,PASADENA,CA,911053902,6265840805,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649439969,2,ACTIVE BODY SUPPLIES,18344 CLARK ST,TARZANA,CA,913563505,8187044754,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609036938,2,"MOZENA MEDICAL RENTALS, INC",3935 E ANAHEIM ST,LONG BEACH,CA,908044101,5624949606,,,,332BC3200X,N,332BD1200X,N,332BN1400X,N,332BX2000X,N,332H00000X,N,332S00000X,N,335E00000X,N,335V00000X,N,332B00000X,Y,,,,,,,,,,,,
1811175128,2,PATRICK SOGBEIN,13615 VICTORY BLVD,VAN NUYS,CA,914011737,8183761243,,,,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1386687655,2,DIANNA L POWELL,544 E WILLIAMS ST,BARSTOW,CA,923112941,7602565225,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487685491,2,SARA CUMMINGS,7846 BROADWAY,LEMON GROVE,CA,91945,6196673700,,,,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1053414052,2,SANDRA L VITALE,1005 W ORANGEBURG AVE,MODESTO,CA,953504163,2095751063,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346343365,2,SANDRA L VITALE,130 REGIS ST,TURLOCK,CA,953821129,2096349021,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487700852,2,CENTER FOR INDEPENDENT REHABILITATIVE,479 ORO DAM BLVD EAST,OROVILLE,CA,959655714,5305349500,,,,225000000X,N,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1629101621,2,"BAKERSFIELD PROSTHETICS & ORTHOTICS CENTER, INC.",49 N HOCKETT ST,PORTERVILLE,CA,93257,5597931808,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205098852,2,"MOZENA MEDICAL SUPPLIES AND EQUIPMENT, INC",3935 E ANAHEIM ST,LONG BEACH,CA,908044101,5624949606,,,,332BC3200X,N,332BD1200X,N,332BN1400X,N,332BX2000X,N,332H00000X,N,332S00000X,N,335E00000X,N,335V00000X,N,332B00000X,Y,,,,,,,,,,,,
1942354584,2,WEST COAST PROSTHETICS,65 QUINTA CT STE I,SACRAMENTO,CA,958234310,9166897528,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558491480,2,YASUKO FURUHASHI,999 E COLORADO BL,PASADENA,CA,911062325,6267932476,,,,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1063698199,2,"BEYOND PROSTHETICS, INC.",15899 LOS GATOS ALMADEN RD,LOS GATOS,CA,950323739,4083566300,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902087802,2,ANAHEIM ORTHOTICS AND ORTHOPEDIC APPLIANCES,1177 N KRAEMER BLVD,ANAHEIM,CA,928061917,7146323263,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720144330,2,ASSOCIATED PROSTHETICS AND ORTHOTICS,5241 PARAMOUNT BLVD,LAKEWOOD,CA,907122121,5625312357,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356549836,2,RUSSELL JOHN MOLINA,73345 HIGHWAY 111,PALM DESERT,CA,922603909,7603454779,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497704548,2,"HEALTH-O-MED, INC.",7606 SANTA MONICA BLVD,WEST HOLLYWOOD,CA,900466409,3236546890,,,,332B00000X,N,332BP3500X,N,335E00000X,N,332BX2000X,Y,,,,,,,,,,,,,,,,,,,,,,
1457366874,2,MCKINLAY ENTERPRISES INC,343 E SHAW AVE,FRESNO,CA,937107609,5592267500,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134147036,2,JOY'S RETURN,10350 SPUNN RD,JACKSON,CA,956429509,2092233650,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851466882,2,"CAPSTONE ORTHOPEDIC, INC.",1355 BESSIE AVE,TRACY,CA,953763415,2098348600,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609942960,2,HOVANESS ABASSIAN & GARO ABASSIAN,1112 S GLENDALE AVE,GLENDALE,CA,912053203,8185070662,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922104751,2,FONTANA ARTIFICIAL LIMB & BRACE INC.,8576 NUEVO AVE,FONTANA,CA,923353826,9098223233,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881861532,2,ADVANCED PROSTHETICS INC.,301 N PRAIRIE AVE,INGLEWOOD,CA,903014507,3106715330,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508876442,2,CARLOS VALENZUELA,4224 OHIO ST,SAN DIEGO,CA,921041320,6192809174,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194834192,2,"ACE ORTHOPEDICS, INC.",7860 IMPERIAL HWY,DOWNEY,CA,902423464,5629236400,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912955881,2,"VALLEY INSTITUTE OF PROSTHETICS & ORTHOTICS, INC.",1524 21ST ST,BAKERSFIELD,CA,933014002,6613221005,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831348465,2,"ANCHOR ORTHOTICS & PROSTHETICS, INC.",11990 HERITAGE OAK PL STE 12,AUBURN,CA,956032405,5308871734,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477710234,2,A LADYS TOUCH INC.,612 D ST,SAN RAFAEL,CA,949013708,4154546058,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275785735,2,VETERANS ADMINISTRATION PALO ALTO HEALTH CARE SYSTEM,3801 MIRANDA AVE,PALO ALTO,CA,943041207,6504935000,,,,224P00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184811283,2,TIMOTHY D. BULGARELLI,454 N CRAIG AVE,PASADENA,CA,911072460,6267937103,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275785131,2,"TI-MED,INC.",381 VAN NESS AVE,TORRANCE,CA,905016224,3102121232,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558455972,2,"F & N PHARMA,INC.",8526 WESTMINSTER BLVD,WESTMINSTER,CA,926834605,7148926916,,,,183500000X,N,3336C0004X,N,332B00000X,N,335E00000X,N,332BN1400X,N,333600000X,Y,,,,,,,,,,,,,,,,,,
1164443099,2,ULTIMA RESOURCES INC,18675 BROOKHURST ST,FOUNTAIN VALLEY,CA,927086749,7149628833,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164676219,2,SAGE TO SUMMIT,148 WILLOW ST,BISHOP,CA,935142719,7608721756,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609960731,2,F & N PHARMA INC,18061 BEACH BLVD,HUNTINGTON BEACH,CA,926481304,7148425390,,,,332B00000X,N,333600000X,N,335E00000X,N,332BN1400X,N,3336C0004X,N,3336C0003X,Y,,,,,,,,,,,,,,,,,,
1699920579,2,JOHNSON'S ORTHOPEDIC,24335 PRIELIPP RD,WILDOMAR,CA,925957426,8774832522,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881849537,2,GENESIS SURGICAL,324 RAINBOW TROUT CT,ROSEVILLE,CA,957474628,9168011673,,,,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1932345964,2,BUTTE PROSTHETICS,2260 ESPLANADE,CHICO,CA,959262234,5308934255,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801034319,2,"J & K ORTHOPEDICS, INC.",224 W COLLEGE ST,COVINA,CA,917231918,6263318856,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518105840,2,STELLAR PROSTHETICS & ORTHOTICS,3831 CATALINA ST,LOS ALAMITOS,CA,907205405,6265840805,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841364726,2,HANGER PROSTHETICS & ORTHOTICS WEST INC,350 N WIGET LN,WALNUT CREEK,CA,945982479,9257987852,,,,332B00000X,N,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1508887662,2,BOSTON SCIENTIFIC NEUROMODULATION CORPORATION,25155 RYE CANYON LOOP,VALENCIA,CA,913555004,6619494000,,,,332B00000X,N,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1376759506,2,CHANNEL ISLANDS PROSTHETICS-ORTHOTICS,520 W 5TH ST,OXNARD,CA,930307025,8054865531,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487831558,2,KATHERINE W DORSCH,3065 PORTER ST,SOQUEL,CA,950732231,8314779596,,,,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1891902524,2,CHANNEL ISLANDS PROSTHETICS-ORTHOTICS,4517 MARKET ST,VENTURA,CA,930037710,8056581822,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962643007,2,"ANCHOR ORTHOTICS & PROSTHETICS, INC",11990 HERITAGE OAK PL,AUBURN,CA,956032455,5308871734,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023251691,2,HEIDI'S IMAGE ENHANCEMENT CLINIC,2600 CENTRAL AVE,UNION CITY,CA,945873187,5107148392,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992891998,2,PETER J VILLALPANDO,2570 SAN RAMON VALLEY BLVD,SAN RAMON,CA,945831637,9258679500,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144368390,2,"PROSTHETIC & ORTHOTIC GROUP OF VENTURA COUNTY , LLC",601 E DAILY DR,CAMARILLO,CA,930105806,8053890272,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831324474,2,TENNI-MOC'S,6502 E SPRING ST,LONG BEACH,CA,908151554,5624297777,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801822937,2,"THE SHOE TREE, INC",801 DOLLIVER ST,PISMO BEACH,CA,934492503,8057735571,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497992861,2,"SUNNY HILLS PROSTHETIC SERVICES, INC.",332 E COMMONWEALTH AVE,FULLERTON,CA,928322017,7147384769,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114948080,2,"KAWEAH ORTHOPEDIC & PROSTHETICS INC,.",2318 W SUNNYSIDE AVE STE 7,VISALIA,CA,932777266,5597411300,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225182033,2,JAMES J VONHOLLE,11835 CARMEL MOUNTAIN RD,SAN DIEGO,CA,921284609,8586746263,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720311897,2,"DYNAMICBRACINGSOLUTIONS, INC.",4373 VIEWRIDGE AVE,SAN DIEGO,CA,921231619,6199723853,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336472695,2,SHOE FIX AND PEDORTHIC CARE,605 HIGH ST,AUBURN,CA,956034207,5308887884,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639181811,2,STOCKTON HAND THERAPY & REHABILITATION,1919 GRAND CANAL BLVD,STOCKTON,CA,952078114,2099568737,,,,225000000X,N,225X00000X,N,225XN1300X,N,335E00000X,N,225XH1200X,Y,,,,,,,,,,,,,,,,,,,,
1144403056,2,KEVIN E CALVO,3737 MORAGA AVE,SAN DIEGO,CA,921175300,8582709972,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902935091,2,"VALLEY FOOT AND ANKLE, INC.",5400 BALBOA BLVD,ENCINO,CA,913161502,8189076102,,,,332BC3200X,N,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,
1457685877,2,"DEB MED, INC.",57725 29 PALMS HWY,YUCCA VALLEY,CA,922843044,7604133947,,,,332BX2000X,N,335E00000X,N,332B00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,
1700828944,2,"BLUEBIRD ORTHOTICS AND PROSTHETICS, INC.",4373 VIEWRIDGE AVE,SAN DIEGO,CA,921231619,8588746750,,,,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124022959,2,ABILITY BIOMECHANICS INT'L INC,6190 FAIRMOUNT AVE,SAN DIEGO,CA,921203428,6192855040,,,,261Q00000X,N,261QA0900X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
1720253305,2,"CORE PROSTHETICS LAB, INC.",29723 NEW HUB DR STE A,SUN CITY,CA,925866537,9512468888,,,,335E00000X,N,335E00000X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
