NPI,Entity Type Code,Provider Organization Name (Legal Business Name),Provider First Line Business Practice Location Address,City,State2,Provider Business Practice Location Address Postal Code,Provider Business Practice Location Address Telephone Number,Zip5,Address,taxonomy
1861713307,2,BAMA ORTHOTIC CENTER,945 MCFARLAND BLVD,NORTHPORT,AL,35476,2053394900,35476,945 MCFARLAND BLVD,335E00000X
1326171505,2,"REDSTONE ORTHOTICS, INC.",450 INVERNESS CORNERS,BIRMINGHAM,AL,35242,2059913338,35242,450 INVERNESS CORNERS,335E00000X
1043246895,2,ACTION ORTHOTICS & PROSTHETICS,2191 E MAIN ST,DOTHAN,AL,36301,3346995462,36301,2191 E MAIN ST,335E00000X
1679852586,2,"INNOVATIVE PROSTHETIC CARE, LLC",1109 WI-65 SERVICE RD N,MOBILE,AL,36618,2514700901,36618,1109 WI-65 SERVICE RD N,335E00000X
1376808220,2,ORTHOMEDICS,101 AUSTIN CIR,BIRMINGHAM,AL,35242,8328164003,35242,101 AUSTIN CIR,335E00000X
1295005577,2,"HANGER PROSTHETICS & ORTHOTICS, INC.",1123 1ST ST N,ALABASTER,AL,35007,2056642009,35007,1123 1ST ST N,335E00000X
1093715849,2,BIOTECH LIMB AND BRACE. LLC,2421 4TH AVE S,BIRMINGHAM,AL,35233,2053247897,35233,2421 4TH AVE S,335E00000X
1093768491,2,ARTIFICIAL LIMB AND BRACE CENTER INC.,218 E 16TH ST,ANNISTON,AL,36207,2562362562,36207,218 E 16TH ST,335E00000X
1215374384,2,RESTORATIVE PROSTHETICS & ORTHOTICS LLC,3456 SPRING HILL AVE,MOBILE,AL,36608,2516546012,36608,3456 SPRING HILL AVE,335E00000X
1134438898,2,"ABC ORTHOTICS & PROSTHETICS CULLMAN, LLC",501 MAIN AVE SW,CULLMAN,AL,35055,2567756041,35055,501 MAIN AVE SW,335E00000X
1912269200,2,"GADSDEN LIMB & BRACE, INC.",315 PERCY ST,TALLADEGA,AL,35160,2563150660,35160,315 PERCY ST,335E00000X
1578825865,2,"GADSDEN LIMB & BRACE, INC.",731 LEIGHTON AVE,ANNISTON,AL,36207,2562355664,36207,731 LEIGHTON AVE,335E00000X
1558772012,2,TUSCALOOSA PROSTHETICS & ORTHOTICS,100 TOWNCENTER BLVD,TUSCALOOSA,AL,35406,2059013428,35406,100 TOWNCENTER BLVD,335E00000X
1578573176,2,"HANGER PROSTHETICS & ORTHOTICS, INC.",2804 W MALL DR,FLORENCE,AL,35630,2057660810,35630,2804 W MALL DR,335E00000X
1497765929,2,"HANGER PROSTHETICS & ORTHOTICS, INC.",54 S GREENO RD,FAIRHOPE,AL,36532,2519904820,36532,54 S GREENO RD,335E00000X
1518031491,2,HANGER PROSTHETICS & ORTHOTICS INC,410 10TH AVE S,BIRMINGHAM,AL,35205,2053220384,35205,410 10TH AVE S,335E00000X
1467869578,2,"ORTHOTIC SOLUTIONS, INC.",2700 ROGERS DR,BIRMINGHAM,AL,35209,2055918877,35209,2700 ROGERS DR,335E00000X
1386720845,2,"ALABAMA CENTER FOR PROSTHETICS AND ORTHOTICS, INC.",3624 5TH AVE S,BIRMINGHAM,AL,35222,2055950632,35222,3624 5TH AVE S,335E00000X
1942621016,2,"UNITED PROSTHETICS & ORTHOTICS, LLC",709 MEMORIAL DR,BESSEMER,AL,35022,2052766582,35022,709 MEMORIAL DR,335E00000X
1518134832,2,"ALABAMA CENTER FOR PROSTHETICS AND ORTHOTICS, INC.",1061 MARTIN LUTHER KING JR BLVD,NORTHPORT,AL,35476,2052489193,35476,1061 MARTIN LUTHER KING JR BLVD,335E00000X
1285020008,2,RESTORATIVE PROSTHETICS & ORTHOTICS LLC,28080 US HIGHWAY 98 STE G,DAPHNE,AL,36526,2516546012,36526,28080 US HIGHWAY 98,335E00000X
1427404722,2,"PRECISION ORTHOTICS & PROSTHETICS,LLC",1557 SPRINGHILL AVENUE,MOBILE,AL,36604,2514330400,36604,1557 SPRINGHILL AVENUE,335E00000X
1730394511,2,COX OCULAR PROSTHETICS INC,700 18TH ST S,BIRMINGHAM,AL,35233,2059391990,35233,700 18TH ST S,335E00000X
1891238994,2,A STEP AHEAD ORTHOTICS AND PROSTHETICS INC,7123 HALCYON PARK DR,MONTGOMERY,AL,36117,2565348637,36117,7123 HALCYON PARK DR,335E00000X
1356320428,2,"ALABAMA PROSTHETICS AND ORTHOTICS, INC.",1441 NARROW LANE PKWY,MONTGOMERY,AL,36111,3342869919,36111,1441 NARROW LANE PKWY,335E00000X
1033272638,2,ORTHOTIC & PROSTHETIC ASSOCIATES INC,1557 SPRING HILL AVE STE A,MOBILE,AL,36604,2514330400,36604,1557 SPRING HILL AVE,335E00000X
1417229196,2,"ALABAMA ARTIFICIAL LIMB & ORTHOPEDIC SERVICE, INC.",720 ALABAMA AVE,SELMA,AL,36701,3348759790,36701,720 ALABAMA AVE,335E00000X
1649399502,2,"ALABAMA ARTIFICIAL LIMB & ORTHOPEDIC SERVICE, INC.",1703 WESTEND CT,OPELIKA,AL,36801,3347373000,36801,1703 WESTEND CT,335E00000X
1932483831,2,"PERFORMANCE PROSTHETICS & ORTHOTICS, PL",15467 ALABAMA 59,FOLEY,AL,36567,8506076126,36567,15467 ALABAMA 59,335E00000X
1386186674,2,A STEP AHEAD ORTHOTICS AND PROSTHETICS INC,1140 EAGLETREE LN SW STE 102,HUNTSVILLE,AL,35801,2565348637,35801,1140 EAGLETREE LN SW,335E00000X
1538641774,2,"BRACE YOURSELF ORTHOTICS & PROSTETICS, LLC.",181 W VALLEY AVE,BIRMINGHAM,AL,35209,2059193900,35209,181 W VALLEY AVE,222Z00000X
1740794734,2,"ALABAMA ARTIFICIAL LIMB & ORTHOPEDIC SERVICE, INC.",721 OAK CIRCLE DR E STE B,MOBILE,AL,36609,3342840250,36609,721 OAK CIRCLE DR E,335E00000X
1558787929,2,"FOURROUX PROSTHETICS, INC",2867 ACTON RD,VESTAVIA,AL,35243,2058749683,35243,2867 ACTON RD,335E00000X
1356347926,2,"ABC ORTHOTICS & PROSTHETICS, INC",3616 7TH CT S,BIRMINGHAM,AL,35222,2053242461,35222,3616 7TH CT S,335E00000X
1295700847,2,"BENCHMARK ORTHOTICS & PROSTHETICS, INC.",3141 LORNA RD,HOOVER,AL,35216,2058221606,35216,3141 LORNA RD,335E00000X
1083671606,2,"ORTHOTIC PROSTHETIC DESIGN, LLC",1061 MARTIN LUTHER KING JR BLVD,NORTHPORT,AL,35476,2052482193,35476,1061 MARTIN LUTHER KING JR BLVD,335E00000X
1295764488,2,"ABILITY BRACE & LIMB, INC",168 ANA DR,FLORENCE,AL,35630,2567609901,35630,168 ANA DR,335E00000X
1215029293,2,"HANGER PROSTHETICS & ORTHOTICS, INC.",100 MEDICAL CENTER DR,GADSDEN,AL,35903,5034938288,35903,100 MEDICAL CENTER DR,335E00000X
1568550168,2,"ORTHOTIC CENTER OF WEST ALABAMA, INC.",945 MCFARLAND BLVD,NORTHPORT,AL,35476,2053394900,35476,945 MCFARLAND BLVD,335E00000X
1114066560,2,"JIM MYERS ORTHOTICS & PROSTHETICS, LLC",600 UNIVERSITY BLVD E,TUSCALOOSA,AL,35401,2052488993,35401,600 UNIVERSITY BLVD E,335E00000X
1588867832,2,SOUTHEASTER OCULAR PROSTHETICS,700 18TH ST S,BIRMINGHAM,AL,35233,2059391990,35233,700 18TH ST S,335E00000X
1992132864,2,"ALABAMA ARTIFICIAL LIMB & ORTHOPEDIC SERVICE, INC.",1240 E MAIN ST,DOTHAN,AL,36301,3346995462,36301,1240 E MAIN ST,335E00000X
1205022043,2,"HANGER PROSTHETICS & ORTHOTICS, INC.",2106 GATEWAY DR STE B,OPELIKA,AL,36801,3347055375,36801,2106 GATEWAY DR,335E00000X
1528089604,2,"FOURROUX PROSTHETICS, INC",2743 BOB WALLACE AVE SW,HUNTSVILLE,AL,35805,2565348672,35805,2743 BOB WALLACE AVE SW,335E00000X
1336213214,2,HANGER PROSTHETICS & ORTHOTICS INC,922 13TH ST E STE 1,TUSCALOOSA,AL,35404,2053660400,35404,922 13TH ST E,335E00000X
1255738498,2,"HANGER PROSTHETICS & ORTHOTICS, INC.",731 LEIGHTON AVE STE 200,ANNISTON,AL,36207,2562355664,36207,731 LEIGHTON AVE,335E00000X
1326624800,2,TRACY D ADAMS DBA TRINITY ORTHOTICS & PEDORTHICS,3192 AL HIGHWAY 157,CULLMAN,AL,35058,2567354393,35058,3192 AL HIGHWAY 157,222Z00000X
1568041671,2,ORTHOSPORTS ASSOCIATES LLC,2104 ROCKY RIDGE RD,HOOVER,AL,35216,2059390477,35216,2104 ROCKY RIDGE RD,335E00000X
1619932001,2,"ALABAMA ARTIFICIAL LIMB & ORTHOPEDIC SERVICE, INC.",1223 E SOUTH BLVD,MONTGOMERY,AL,36116,3342840250,36116,1223 E SOUTH BLVD,335E00000X
1356732200,2,HANGER PROSTHETICS & ORTHOTICS INC,305 S 4TH ST,GADSDEN,AL,35901,2565490064,35901,305 S 4TH ST,335E00000X
1306235973,2,HANGER PROSTHETICS & ORTHOTICS INC,315 PERCY ST,TALLADEGA,AL,35160,2563150660,35160,315 PERCY ST,335E00000X
1558433292,2,HANGER PROSTHETICS & ORTHOTICS INC,321 WESTGATE PKWY STE 2,DOTHAN,AL,36303,3347122850,36303,321 WESTGATE PKWY,335E00000X
1710987144,2,EASTERN SHORE ORTHOTICS &,19484 GREENO RD,FAIRHOPE,AL,36532,2519904040,36532,19484 GREENO RD,335E00000X
1619061801,2,EASTERN SHORE ORTHOTICS &,2504 DAUPHIN ST,MOBILE,AL,36606,2514710071,36606,2504 DAUPHIN ST,335E00000X
1801548326,2,JSHAMBURGER CRANIAL PROSTHETICS OF ALABAMA,6951 DICKENS FERRY RD APT 35,MOBILE,AL,36608,2515080035,36608,6951 DICKENS FERRY RD,335E00000X
1518610062,2,ORTHOTIC & PROSTHETIC SOLUTIONS LLC,316 BEL AIR BLVD STE 303,MOBILE,AL,36606,2253164444,36606,316 BEL AIR BLVD,335E00000X
1043268402,2,SOUTHLAKE ORTHOPAEDICS SPORTS MEDICINE & SPINE CENTER PC,4517 SOUTHLAKE PKWY,BIRMINGHAM,AL,35244,2059854111,35244,4517 SOUTHLAKE PKWY,207X00000X
1497371405,2,SOUTHLAKE ORTHOPAEDICS SPORTS MEDICINE & SPINE CENTER PC,3686 GRANDVIEW PKWY STE 430,BIRMINGHAM,AL,35243,2056058180,35243,3686 GRANDVIEW PKWY,207X00000X
1508447343,2,SOUTHLAKE ORTHOPAEDICS DBA SOUTHLAKE PROSTHETICS & ORTHOTICS,4524 SOUTHLAKE PKWY STE 26,HOOVER,AL,35244,2059854111,35244,4524 SOUTHLAKE PKWY,224P00000X
1780281741,2,"SOUTHLAKE ORTHOPAEDICS SPORTS MEDICINE AND SPINE CENTER, PC",4524 SOUTHLAKE PKWY STE 26,HOOVER,AL,35244,2059854111,35244,4524 SOUTHLAKE PKWY,335E00000X
1861142143,2,"ALABAMA ARTIFICIAL LIMB & ORTHOPEDIC SERVICE, INC.",101 VILLA DR B STE 250,DAPHNE,AL,36526,2516151205,36526,101 VILLA DR B,335E00000X
1720075807,2,ABC ORTHOTICS AND PROSTHETICS,805 DOWNTOWNER LOOP W,MOBILE,AL,36609,2513163160,36609,805 DOWNTOWNER LOOP W,335E00000X
1104556646,2,PROSTHETIC SOLUTIONS INC.,3280 DAUPHIN ST STE C105,MOBILE,AL,36606,5045001349,36606,3280 DAUPHIN ST,335E00000X
1548256621,2,"ALABAMA ORTHOTICS & PROSTHETICS,INC.",1021 6TH AVE SE,DECATUR,AL,35601,2563080200,35601,1021 6TH AVE SE,335E00000X
1942210489,2,"HANGER PROSTHETICS & ORTHOTICS, INC.",2700 GRANT ST,MOBILE,AL,36606,2514737001,36606,2700 GRANT ST,335E00000X
1255405304,2,HANGER PROSTHETICS & ORTHOTICS INC,456 SAINT LUKES DR,MONTGOMERY,AL,36117,3343960405,36117,456 SAINT LUKES DR,335E00000X
1528632502,2,"ALABAMA ARTIFICIAL LIMB & ORTHOPEDIC SERVICE, INC.",717 HIGHWAY 67 S STE 10,DECATUR,AL,35603,2563537175,35603,717 HIGHWAY 67 S,335E00000X
1265153670,2,FAMILY PROSTHETIC & MEDICAL SUPPLY LLC,111 BIG VALLEY DR STE A&B,ALEXANDRIA,AL,36250,2564036344,36250,111 BIG VALLEY DR,224P00000X
1427122308,2,HANGER PROSTHETICS & ORTHOTICS INC,801 CHURCH ST NE STE 10,DECATUR,AL,35601,2563535226,35601,801 CHURCH ST NE,335E00000X
1679237291,2,"INFINITY ORTHOTICS & PROSTHETICS, INC.",1404 E AVALON AVE STE D,TUSCUMBIA,AL,35674,2565397997,35674,1404 E AVALON AVE,335E00000X
1730251471,2,HANGER PROSTHETICS & ORTHOTICS INC,1526 5TH AVE S,BIRMINGHAM,AL,35233,2053232574,35233,1526 5TH AVE S,335E00000X
1629627484,2,"ORTHOTIC & PROSTHETIC CENTERS, INC.",9808 MILLWOOD CIR STE A,DAPHNE,AL,36527,7273273332,36527,9808 MILLWOOD CIR,335E00000X
1649318593,2,DENALI ORTHOPEDIS INC,4100 LAKE OTIS PARKWAY,ANCHORAGE,AK,99508,9075612837,99508,4100 LAKE OTIS PARKWAY,335E00000X
1295930600,2,FARTHEST NORTH PROSTHETICS AND ORTHOTICS,3520 INDUSTRIAL AVE,FAIRBANKS,AK,99701,9074559255,99701,3520 INDUSTRIAL AVE,335E00000X
1376711549,2,SOUTHEAST ALASKA PROSTHETICS AND ORTHOTICS LLC,5193 BORCH ST,KETCHIKAN,AK,99901,9072541276,99901,5193 BORCH ST,335E00000X
1689920142,2,ALCHEMY ORTHOTICS AND PROSTHETICS,1405 KELLUM ST,FAIRBANKS,AK,99701,9075620560,99701,1405 KELLUM ST,335E00000X
1821346065,2,"MUNGER PROSTHETICS AND ORTHOTICS, INC.",1700 E BOGARD RD,WASILLA,AK,99654,9077439991,99654,1700 E BOGARD RD,335E00000X
1942551429,2,"MUNGER PROSTHETICS AND ORTHOTICS, INC.",3455 REWAK DR STE 101,FAIRBANKS,AK,99709,9077439991,99709,3455 REWAK DR,335E00000X
1346422466,2,"ALCHEMY ORTHOTICS & PROSTHETICS, LLC",12201 INDUSTRY WAY,ANCHORAGE,AK,99515,9075620560,99515,12201 INDUSTRY WAY,335E00000X
1487652335,2,"ALASKA ORTHOPEDICS, INC.",2028 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508,9072794832,99508,2028 E NORTHERN LIGHTS BLVD,335E00000X
1235144619,2,"MUNGER PROSTHETICS AND ORTHOTICS, INC",5701 LAKE OTIS PKWY STE 400,ANCHORAGE,AK,99507,9077439991,99507,5701 LAKE OTIS PKWY,335E00000X
1134461957,2,NORTHERN ORTHOPEDICS INC,44604 STERLING HWY,SOLDOTNA,AK,99669,9075611777,99669,44604,335E00000X
1699819789,2,NORTHERN ORTHOPEDICS INC,3400 LATOUCHE ST STE 100,ANCHORAGE,AK,99508,9075611777,99508,3400 LATOUCHE ST,335E00000X
1952445041,2,NORTHERN ORTHOPEDICS INC,3719 E MERIDIAN LOOP STE H,WASILLA,AK,99654,9073573737,99654,3719 E MERIDIAN LOOP,335E00000X
1306068911,2,TOWNSON'S PROSTHETICS,3855 N. ORACLE RD.,TUCSON,AZ,85705,5208881334,85705,3855 N ORACLE RD,335E00000X
1407047319,2,"CUSTOM OCULAR PROSTHETICS, INC.",9465 E HARRISON PL,TUCSON,AZ,85710,5207227471,85710,9465 E HARRISON PL,335E00000X
1750403275,2,HANGER PROSTHETICS & ORTHTOTICS WEST INC,2800 E AJO WAY,TUCSON,AZ,85713,5208897800,85713,2800 E AJO WAY,332B00000X
1346497617,2,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",3126 N CIVIC CENTER PLZ,SCOTTSDALE,AZ,85251,4809492760,85251,3126 N CIVIC CENTER PLZ,335E00000X
1962699504,2,DESERT PROSTHETIC & ORTHOTIC REHABILITATION,4915 E. BASELINE ROAD,GILBERT,AZ,85234,4804979929,85234,4915 E BASELINE ROAD,335E00000X
1407921273,2,HANGER PROSTHETICS & ORTHOTICS WEST INC,2905 W WARNER RD,CHANDLER,AZ,85224,4808319279,85224,2905 W WARNER RD,335E00000X
1750693982,2,"ORTHOTIC & PROSTHETIC CARE, INC.",236 E HATCHER RD,PHOENIX,AZ,85020,6025616450,85020,236 E HATCHER RD,335E00000X
1932187218,2,TUCSON ORTHOPEDIC LAB LLC,3818 E 5TH ST,TUCSON,AZ,85716,5203190339,85716,3818 E 5TH ST,335E00000X
1912283953,2,CREATIVE ORTHOTIC LABS,8608 N 59TH AVE,GLENDALE,AZ,85302,6239343213,85302,8608 N 59TH AVE,335E00000X
1952580763,2,VALLEY ORTHOTICS AND PROSTHETICS INC.,4915 E BASELINE RD,GILBERT,AZ,85234,4804979929,85234,4915 E BASELINE RD,335E00000X
1992754584,2,"TONY MARTIN LIMB AND BRACE, LLC",5721 E 5TH ST,TUCSON,AZ,85711,5207907755,85711,5721 E 5TH ST,335E00000X
1437302544,2,PROSTHETIC CENTER LLC,8440 E. MCDONALD DRIVE,SCOTTSDALE,AZ,85250,4809510600,85250,8440 E MCDONALD DRIVE,224P00000X
1649339615,2,"ARIZONA DESERT ORTHOPAEDIC CENTER, INC.",13660 N 94TH DR,PEORIA,AZ,85381,6239746542,85381,13660 N 94TH DR,335E00000X
1811239346,2,LIMB CENTER LLC,637 E COTTONWOOD LN,CASA GRANDE,AZ,85122,5204131554,85122,637 E COTTONWOOD LN,335E00000X
1497044689,2,CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION,10494 W THUNDERBIRD BLVD,SUN CITY,AZ,85351,6235375600,85351,10494 W THUNDERBIRD BLVD,332B00000X
1033348024,2,HANGER PROSTHETICS & ORTHOTICS WEST INC,5225 HWY 95,FORT MOHAVE,AZ,86426,9287682454,86426,5225 HWY 95,335E00000X
1063645737,2,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",18325 N ALLIED WAY,PHOENIX,AZ,85054,4805131991,85054,18325 N ALLIED WAY,335E00000X
1992870778,2,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",2222 E HIGHLAND AVE,PHOENIX,AZ,85016,6028403833,85016,2222 E HIGHLAND AVE,335E00000X
1386718260,2,HANGER PROSTHETICS & ORTHOTICS WEST INC,4050 E COTTON CENTER BLVD,PHOENIX,AZ,85040,6024268896,85040,4050 E COTTON CENTER BLVD,335E00000X
1366837809,2,CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION,4485 S I-19 FRONTAGE RD,GREEN VALLEY,AZ,85416,8669742673,85416,4485 S I-19 FRONTAGE RD,332B00000X
1659708451,2,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, INC",9305 W THOMAS RD,PHOENIX,AZ,85037,8669742673,85037,9305 W THOMAS RD,332B00000X
1912353806,2,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, INC",9305 W THOMAS RD,PHOENIX,AZ,85037,8669742673,85037,9305 W THOMAS RD,332B00000X
1558717447,2,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, INC",1450 S DOBSON RD,MESA,AZ,85202,8669742673,85202,1450 S DOBSON RD,332B00000X
1811343700,2,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, INC",18444 N 25TH AVE,PHOENIX,AZ,85023,8669742673,85023,18444 N 25TH AVE,332B00000X
1740636638,2,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, INC",14520 W GRANITE VALLEY DR,SUN CITY WEST,AZ,85375,8669742673,85375,14520 W GRANITE VALLEY DR,332B00000X
1225228265,2,HANGER PROSTHETICS & ORTHOTICS WEST INC,3173 N WINDSONG DR # B,PRESCOTT VALLEY,AZ,86314,9287759280,86314,3173 N WINDSONG DR,335E00000X
1548787930,2,LIMB CENTER LLC,3020 N 44TH ST,PHOENIX,AZ,85018,6029001733,85018,3020 N 44TH ST,1744P3200X
1609386853,2,RANDY WHITESIDE PROSTHETICS LLC,1190 E MISSOURI AVE STE 190,PHOENIX,AZ,85014,6025961040,85014,1190 E MISSOURI AVE,224P00000X
1407920366,2,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",4045 E BELL RD,PHOENIX,AZ,85032,6027650207,85032,4045 E BELL RD,335E00000X
1598839458,2,HANGER PROSTHETICS & ORTHOTICS WEST INC,1641 E OSBORN RD STE 4,PHOENIX,AZ,85016,6022640097,85016,1641 E OSBORN RD,335E00000X
1932232444,2,HANGER PROSTHETICS & ORTHOTICS WEST INC,395 N SILVERBELL RD STE 301,TUCSON,AZ,85745,5207920044,85745,395 N SILVERBELL RD,335E00000X
1477627354,2,HANGER PROSTHETICS & ORTHOTICS WEST INC,1025 W 24TH ST STE 17,YUMA,AZ,85364,9283411965,85364,1025 W 24TH ST,335E00000X
1104968288,2,MEDSOURCE ORTHOTICS & PROSTHETICS,14821 N DEL WEBB BLVD,SUN CITY,AZ,85351,6238151001,85351,14821 N DEL WEBB BLVD,335E00000X
1275605461,2,MEDSOURCE ORTHOTICS & PROSTHETICS,9305 W. THOMAS RD,PHOENIX,AZ,85037,6237380301,85037,9305 W THOMAS RD,335E00000X
1093717365,2,"ORTHOTIC SPECIALISTS, INC",2650 E MCDOWELL RD,PHOENIX,AZ,85008,6022631010,85008,2650 E MCDOWELL RD,335E00000X
1245724822,2,"MEDSOURCE ORTHOTICS & PROSTHETICS, INC",1450 S DOBSON RD STE B326,MESA,AZ,85202,6023953354,85202,1450 S DOBSON RD,335E00000X
1386786614,2,"MEDSOURCE ORTHOTICS & PROSTHETICS, INC",3636 N 3RD AVE,PHOENIX,AZ,85013,6023953354,85013,3636 N 3RD AVE,335E00000X
1043769169,2,"MEDSOURCE ORTHOTICS & PROSTHETICS, INC",13203 N 103RD AVE STE J1&J2,SUN CITY,AZ,85351,6023953354,85351,13203 N 103RD AVE,335E00000X
1265904650,2,MONARCH PROSTHETICS AND ORTHOTICS,544 E DEVON DR,GILBERT,AZ,85296,4803649905,85296,544 E DEVON DR,224P00000X
1508930462,2,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",3303 N 75TH ST,SCOTTSDALE,AZ,85251,4809451929,85251,3303 N 75TH ST,335E00000X
1659832202,2,CAPITOL ORTHOPEDIC INC,1702 W ANKLAM RD STE 111,TUCSON,AZ,85745,9133698734,85745,1702 W ANKLAM RD,335E00000X
1629539275,2,CAPITOL ORTHOPEDIC INC,4001 N 3RD ST STE 405,PHOENIX,AZ,85012,9133698734,85012,4001 N 3RD ST,335E00000X
1710445481,2,CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION LLC,1500 S DOBSON RD STE 202,MESA,AZ,85202,8669742673,85202,1500 S DOBSON RD,332B00000X
1487900817,2,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",1450 S DOBSON RD,MESA,AZ,85202,8668742673,85202,1450 S DOBSON RD,332B00000X
1861435422,2,CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION LLC,14520 W GRANITE VALLEY DR,SUN CITY WEST,AZ,85375,6235375600,85375,14520 W GRANITE VALLEY DR,332B00000X
1518152073,2,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",18444 N 25TH AVE,PHOENIX,AZ,85023,8669742673,85023,18444 N 25TH AVE,332B00000X
1548893365,2,CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION LLC,10484 W THUNDERBIRD BLVD STE 100,SUN CITY,AZ,85351,8669742673,85351,10484 W THUNDERBIRD BLVD,332B00000X
1851579932,2,"CENTER FOR ORTHOPEDIC RESEARCH AND EDUCATION, LLC",3420 S MERCY RD,GILBERT,AZ,85297,6235375600,85297,3420 S MERCY RD,332B00000X
1285258996,2,MOBILITY PROSTHETIC AND ORTHOTIC SERVICES LLC,1921 MOTOR AVE STE B,KINGMAN,AZ,86401,9283774125,86401,1921 MOTOR AVE,335E00000X
1548465248,2,"ARIZONA OCULAR PROSTHETICS, LLC",3025 S KENNETH PL,TEMPE,AZ,85282,4802643041,85282,3025 S KENNETH PL,156FX1700X
1851916217,2,BIONIC PROSTHETICS AND ORTHOTICS GROUP LLC,633 E RAY RD STE 111,GILBERT,AZ,85296,4802995177,85296,633 E RAY RD,335E00000X
1578541579,2,ARTIFICIAL LIMB SPECIALISTS LLC,7600 N 15TH ST,PHOENIX,AZ,85020,6027452080,85020,7600 N 15TH ST,335E00000X
1396702718,2,ARTIFICIAL LIMB SPECIALISTS LLC,2058 S DOBSON RD,MESA,AZ,85202,4809693999,85202,2058 S DOBSON RD,335E00000X
1306803218,2,CREATIVE ORTHOTIC LABORATORY,8608 N 59TH AVE,GLENDALE,AZ,85302,6239343213,85302,8608 N 59TH AVE,335E00000X
1194899070,2,HANGER PROSTHETICS & ORTHOTICS WEST INC,1485 N TURQUOISE DR,FLAGSTAFF,AZ,86001,9282134910,86001,1485 N TURQUOISE DR,335E00000X
1114143567,2,ARIZONA PROSTHETIC ORTHOTICS SERVICES,2933 N CAMPBELL AVE,TUCSON,AZ,85719,5202290622,85719,2933 N CAMPBELL AVE,335E00000X
1417562695,2,"ARIZONA ORTHOTICS, LLC",8618 N 35TH AVE STE 1A,PHOENIX,AZ,85051,8337150729,85051,8618 N 35TH AVE,332B00000X
1003980988,2,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",3816 N 7TH ST,PHOENIX,AZ,85014,6022743625,85014,3816 N 7TH ST,335E00000X
