,Provider Organization Name (Legal Business Name),Provider First Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Provider Business Practice Location Address Telephone Number
28,"PETER HARSCH PROSTHETICS, LLC",5995 MIRA MESA BLVD,SAN DIEGO,CA,92121,8584040733
29,CENTRAL VALLEY ORTHOTIC AND PROSTHETIC,2039 N FINE AVE,FRESNO,CA,93727,5594263001
30,THE EVOLVE EFFECT,920 N CENTRAL AVE,UPLAND,CA,91786,9099066774
31,"VAST MEDICAL SOLUTIONS, LLC",24835 LA PALMA AVE STE G,YORBA LINDA,CA,92887,8885513519
32,ADVANCED ARTIFICIAL EYES,18455 BURBANK BLVD SUITE 202,TARZANA,CA,91356,8187581666
0,DIMENSION PROSTHETICS & ORTHOTICS,33374 DOWE AVE,UNION CITY,CA,94587,5103243400
5,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",3460 ROBIN LN,CAMERON PARK,CA,95682,5306764856
8,HANGER PROSTHETICS & ORTHOTICS WEST INC,7056 A SKYWAY,PARADISE,CA,95969,5308771805
24,"BAKERSFIELD PROSTHETICS & ORTHOTICS CENTER, INC.",2023 TRUXTUN AVE,BAKERSFIELD,CA,93301,6612812127
28,"VENTURA PROSTHETICS& ORTHOTICS, INC.",2324 N BATAVIA ST,ORANGE,CA,92865,7143573940
31,"DYNAMICS ORTHOTICS & PROSTHETICS, INC.",1830 W OLYMPIC BLVD,LOS ANGELES,CA,90006,2133839212
49,NORTHBAY PROSTHETICS AND ORTHOTICS LLC,3260 BEARD RD,NAPA,CA,94558,7072547010
50,"KING PROSTHETICS & ORTHOTICS, INC.",12849 CHAPMAN AVE,GARDEN GROVE,CA,92840,7149717221
52,STELLAR PROSTHETICS AND ORTHOTICS,753 S ARROYO PKWY,PASADENA,CA,91105,6265840805
61,"BAKERSFIELD PROSTHETICS & ORTHOTICS CENTER, INC.",49 N HOCKETT ST,PORTERVILLE,CA,93257,5597931808
67,ASSOCIATED PROSTHETICS AND ORTHOTICS,5241 PARAMOUNT BLVD,LAKEWOOD,CA,90712,5625312357
78,"VALLEY INSTITUTE OF PROSTHETICS & ORTHOTICS, INC.",1524 21ST ST,BAKERSFIELD,CA,93301,6613221005
79,"ANCHOR ORTHOTICS & PROSTHETICS, INC.",11990 HERITAGE OAK PL STE 12,AUBURN,CA,95603,5308871734
91,STELLAR PROSTHETICS & ORTHOTICS,3831 CATALINA ST,LOS ALAMITOS,CA,90720,6265840805
92,HANGER PROSTHETICS & ORTHOTICS WEST INC,350 N WIGET LN,WALNUT CREEK,CA,94598,9257987852
94,CHANNEL ISLANDS PROSTHETICS-ORTHOTICS,520 W 5TH ST,OXNARD,CA,93030,8054865531
96,CHANNEL ISLANDS PROSTHETICS-ORTHOTICS,4517 MARKET ST,VENTURA,CA,93003,8056581822
97,"ANCHOR ORTHOTICS & PROSTHETICS, INC",11990 HERITAGE OAK PL,AUBURN,CA,95603,5308871734
112,"BLUEBIRD ORTHOTICS AND PROSTHETICS, INC.",4373 VIEWRIDGE AVE,SAN DIEGO,CA,92123,8588746750
117,"HARA ORTHOTICS AND PROSTHETICS,INC",1343 W. VALENCIA DR.,FULLERTON,CA,92833,7145251035
118,GLOBAL PROSTHETICS & ORTHOTICS,2021 W FLORENCE AVE,LOS ANGELES,CA,90047,3235654093
121,HANGER PROSTHETICS & ORTHOTICS WEST INC,4659 LAS POSITAS RD,LIVERMORE,CA,94551,9253715043
122,HANGER PROSTHETICS & ORTHOTICS WEST INC,2251 WEST GRANTLINE ROAD,TRACY,CA,95376,2098327407
124,HANGER PROSTHETICS & ORTHOTICS WEST INC,1660 SAN PABLO AVE,PINOLE,CA,94564,5107240400
129,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",24 ANTELOPE BLVD,RED BLUFF,CA,96080,5305281795
134,DESERT PROSTHETICS & ORTHOTICS,68860 PEREZ RD STE G,CATHEDRAL CITY,CA,92234,7607704620
136,DESERT PROSTHETICS & ORTHOTICS GROUP,81709 DR CARREON BLVD,INDIO,CA,92201,7607704620
141,"PRECISION ORTHOTICS & PROSTHETICS, INC",15586 7TH STREET,VICTORVILLE,CA,92395,7602417774
145,SMART PROSTHETICS ORTHOTICS INC,1407 N VERMONT AVE,LOS ANGELES,CA,90027,3236621100
152,L.I.C PROSTHETICS AND ORTHOTICS,321 E CENTER ST,ANAHEIM,CA,92805,7145630056
156,HANGER PROSTHETICS & ORTHOTICS WEST,1480 S HARBOR BLVD,LA HABRA,CA,90631,7148711480
161,DESERT PROSTHETICS & ORTHOTICS GROUP,57402 TWENTYNINE PALMS HWY,YUCCA VALLEY,CA,92284,7607704620
163,HANGER PROSTHETICS & ORTHOTICS WEST,1073 ROSS AVE,EL CENTRO,CA,92243,7603360703
167,CAREMEDICS ORTHOTICS & PROSTHETICS INC,421 N BROOKHURST ST,ANAHEIM,CA,92801,7149567998
172,BALDWIN ORTHOTICS & PROSTHETICS INC,24475 SUNNYMEAD BLVD,MORENO VALLEY,CA,92553,9518247850
175,AMERICAN ORTHOTICS & PROSTHETICS,1666 MEDICAL CENTER DR,SAN BERNARDINO,CA,92411,9094739308
199,LERMAN AND SON ORTHOTICS AND PROSTHETICS INC,8710 WILSHIRE BLVD,BEVERLY HILLS,CA,90211,3106592290
201,"SEQUOIA PROSTHETICS & ORTHOTICS, INC.",5435 W HILLSDALE AVE,VISALIA,CA,93291,5597341060
202,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",1073 ROSS AVE,EL CENTRO,CA,92243,7603360703
205,DESERT PROSTHETICS & ORTHOTICS INC.,81709 DR. CARREON BLVD.,INDIO,CA,92201,7603428200
211,NORTH BAY PROSTHETICS AND ORTHOTICS LLC,450 CHADBOURNE RD,FAIRFIELD,CA,94534,7074255028
212,"AMERICAN ORTHOTICS & PROSTHETICS, LLC.",3714 TIBBETTS ST,RIVERSIDE,CA,92506,9513676702
217,"KOLMAN PROSTHETICS ORTHOTICS,INC.",7633 GREENLEAF AVE,WHITTIER,CA,90602,5626980988
224,MOBILE PROSTHETICS AND ORTHOTICS LLC,33374 DOWE AVE,UNION CITY,CA,94587,5102826898
226,RESTORE ORTHOTICS AND PROSTHETICS,2147 COURT ST,REDDING,CA,96001,5306054292
227,"QUALITY CARE PROSTHETICS & ORTHOTICS, INC.",1665 W KATELLA AVE,ANAHEIM,CA,92802,7146439206
236,RESTORE ORTHOTICS & PROSTHETICS,24 ANTELOPE BLVD,RED BLUFF,CA,96080,5305272305
237,"NEXT STEP ORTHOTICS & PROSTHETICS, INC.",11731 STERLING AVE STE H,RIVERSIDE,CA,92503,9513529203
238,RABBIT'S FOOT ORTHOTICS AND PROSTHETICS,12540 OAKS NORTH DR,SAN DIEGO,CA,92128,8589431691
239,"ACHILLES PROSTHETICS AND ORTHOTICS, INC",2624 F ST,BAKERSFIELD,CA,93301,6613235944
240,"ACHILLES PROSTHETICS AND ORTHOTICS, INC",622 E MAIN ST,SANTA MARIA,CA,93454,8059256144
244,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",1480 S HARBOR BLVD,LA HABRA,CA,90631,7148711480
245,"GEIGER PROSTHETICS AND ORTHOTICS, INC.",917 W CENTER AVE,VISALIA,CA,93291,5599010073
246,NORTH BAY PROSTHETICS AND ORTHOTICS LLC,3273 CLAREMONT WAY,NAPA,CA,94558,7072547010
247,NORTH BAY PROSTHETICS AND ORTHOTICS LLC,3001 P ST,SACRAMENTO,CA,95816,9167372200
248,HANGER PROSTHETICS & ORTHOTICS WEST INC,2140 W CHAPMAN AVE,ORANGE,CA,92868,7149786784
250,"SCOPE ORTHOTICS & PROSTHETICS, INC.",24331 EL TORO RD,LAGUNA WOODS,CA,92637,9495839667
255,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",5360 JACKSON DR,LA MESA,CA,91942,6196677000
256,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",12630 MONTE VISTA RD,POWAY,CA,92064,8584851620
258,HANGER PROSTHETICS & ORTHOTICS WEST INC,5880 W LAS POSITAS BLVD,PLEASANTON,CA,94588,9257340344
259,HANGER PROSTHETICS & ORTHOTICS WEST INC,2275 MYERS ST STE C,OROVILLE,CA,95966,5305337344
260,ALLIANCE PROSTHETICS & ORTHOTICS INC.,12458 E. WASHINGTON BLVD,WHITTIER,CA,90602,5629451111
264,"ACHILLES PROSTHETICS AND ORTHOTICS, INC",234 HEATHER CT,TEMPLETON,CA,93465,8054341600
270,TURNER ORTHOTICS AND PROSTHETICS LLC,413 MELISSA CT,VACAVILLE,CA,95687,7073018989
271,RESTORE ORTHOTICS AND PROSTHETICS,1011 CASS ST,MONTEREY,CA,93940,8313752300
272,ERDMANN PROSTHETICS & ORTHOTICS,151 N SUNRISE AVE,ROSEVILLE,CA,95661,9167723333
297,"ACHILLES PROSTHETICS AND ORTHOTICS, INC",842 CALIFORNIA BLVD,SAN LUIS OBISPO,CA,93401,8055413800
298,ACTIVE 1 PROSTHETICS AND ORTHOTICS,295 W CROMWELL AVE,FRESNO,CA,93711,5594935020
333,"BAKERSFIELD PROSTHETICS & ORTHOTICS CENTER, INC",323 S LEXINGTON ST,DELANO,CA,93215,6617209293
339,SAN JOAQUIN ORTHOTICS & PROSTHETICS,2211 N CALIFORNIA ST,STOCKTON,CA,95204,2099320170
341,DIABLO PROSTHETICS & ORTHOTICS INC.,120 LA CASA VIA,WALNUT CREEK,CA,94598,9259307700
342,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",635 ANDERSON RD,DAVIS,CA,95616,5302045123
348,NORELL PROSTHETICS ORTHOTICS INC,3200 E GUASTI RD,ONTARIO,CA,91761,9094568889
351,APPLIED ORTHOTICS AND PROSTHETICS,700 W PARR AVE,LOS GATOS,CA,95032,4083589741
353,"HANGER PROSTHETICS & ORTHOTICS WEST, INC",500 OLD RIVER RD STE 100,BAKERSFIELD,CA,93311,6616954506
357,"HITTENBERGER ORTHOTICS AND PROSTHETICS, LLC",181 LYNCH CREEK WAY,PETALUMA,CA,94954,7077651122
358,"DYNAMICS ORTHOTICS & PROSTHETICS, INC",11550 INDIAN HILLS RD,MISSION HILLS,CA,91345,8188980234
359,"DYNAMICS ORTHOTICS & PROSTHETICS, INC.",16077 KAMANA RD,APPLE VALLEY,CA,92307,7602426444
362,"DYNAMICS ORTHOTICS & PROSTHETICS, INC.",1001 W CARSON ST,TORRANCE,CA,90502,3107811780
365,"DIABLO PROSTHETICS AND ORTHOTICS, INC",5601 NORRIS CANYON RD,SAN RAMON,CA,94583,9255525100
366,QUALITY ORTHOTICS PROSTHETICS INC,319 E FOOTHILL BLVD,POMONA,CA,91767,9096297615
376,HANGER PROSTHETICS & ORTHOTICS WEST INC,201 S BUENA VISTA ST,BURBANK,CA,91505,8185639590
381,NORTH BAY PROSTHETICS AND ORTHOTICS LLC,151 N SUNRISE AVE STE 1203,ROSEVILLE,CA,95661,9167424334
389,NORTH BAY PROSTHETICS AND ORTHOTICS LLC,671 ELMIRA RD,VACAVILLE,CA,95687,7077248985
392,ESSENTIAL ORTHOTICS AND PROSTHETICS INC,360 GRAND CYPRESS AVE,PALMDALE,CA,93551,6617233700
394,NORELL PROSTHETICS ORTHOTICS INC.,463 BREWSTER AVE,REDWOOD CITY,CA,94063,5107709010
396,HANGER PROSTHETICS & ORTHOTICS WEST INC,125 CIRO AVE STE 240,SAN JOSE,CA,95128,4082489840
397,HANGER PROSTHETICS & ORTHOTICS WEST INC,820 S AKERS ST STE 230,VISALIA,CA,93277,5597323957
398,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",298 SAN ANTONIO RD STE 150,MOUNTAIN VIEW,CA,94040,6505591711
399,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",1127 WILSHIRE BLVD STE 310,LOS ANGELES,CA,90017,2132507850
400,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",23206 LYONS AVE STE 111,SANTA CLARITA,CA,91321,6617539260
401,HANGER PROSTHETICS & ORTHOTICS WEST INC,69730 HIGHWAY 111 STE 107,RANCHO MIRAGE,CA,92270,7603286575
402,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",2400 BROAD ST,SAN LUIS OBISPO,CA,93401,8055468666
404,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",3663 N LAUGHLIN RD STE 103,SANTA ROSA,CA,95403,7075287999
406,HANGER PROSTHETICS & ORTHOTICS WEST INC,1247 E ALLUVIAL AVE STE 103,FRESNO,CA,93720,5594317045
407,"ANCHOR ORTHOTICS AND PROSTHETICS, INC.",2540 PACIFIC AVE,STOCKTON,CA,95204,2099449990
408,"ANCHOR ORTHOTICS AND PROSTHETICS, INC.",617 VETERANS BLVD STE 101,REDWOOD CITY,CA,94063,6503643088
409,HANGER PROSTHETICS & ORTHOTICS WEST INC,16185 KAMANA RD,APPLE VALLEY,CA,92307,7602421311
410,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",104 MARGARET LN STE A,GRASS VALLEY,CA,95945,5302711770
411,HANGER PROSTHETICS & ORTHOTICS WEST INC,654 N EL CAMINO REAL,SAN MATEO,CA,94401,6503434504
412,HANGER PROSTHETICS & ORTHOTICS WEST INC,1215 PLUMAS ST STE 1000,YUBA CITY,CA,95991,5306712324
413,HANGER PROSTHETICS & ORTHOTICS WEST INC,2300 BOYNTON AVE STE 101,FAIRFIELD,CA,94533,7074283800
414,"SCOPE ORTHOTICS & PROSTHETICS, INC.",895 THIRD AVE BLDG 2,CHULA VISTA,CA,91911,6195858421
418,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",1460 N CAMINO ALTO STE 106,VALLEJO,CA,94589,7076432177
420,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",24655 MONROE AVE STE 101,MURRIETA,CA,92562,9516915000
422,HANGER PROSTHETICS & ORTHOTICS WEST INC,433 HEGENBERGER RD STE 100,OAKLAND,CA,94621,5104302500
426,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",2761 GEARY BLVD,SAN FRANCISCO,CA,94118,4153469120
427,NORTH BAY PROSTHETICS AND ORTHOTICS LLC,5900 COYLE AVE STE B,CARMICHAEL,CA,95608,9163497600
428,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",13203 HADLEY ST STE 209,WHITTIER,CA,90601,5626989578
429,HANGER PROSTHETICS & ORTHOTICS WEST INC,6300 WILSHIRE BLVD STE 950,LOS ANGELES,CA,90048,3238662555
430,HANGER PROSTHETICS & ORTHOTICS WEST INC,1035 S FAIR OAKS AVE STE 102,PASADENA,CA,91105,6264038174
431,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",3602 INLAND EMPIRE BLVD STE C130,ONTARIO,CA,91764,9094845700
433,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",6377 RIVERSIDE AVE STE B100,RIVERSIDE,CA,92506,9516865325
434,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",16661 VENTURA BLVD STE 120,ENCINO,CA,91436,8189076004
435,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",1501 SUPERIOR AVE,NEWPORT BEACH,CA,92663,9496425233
440,ADVANCE ORTHOTICS AND PROSTHETICS,1009 N ORANGE AVE,AZUSA,CA,91702,6267571920
443,"ACHILLES PROSTHETICS AND ORTHOTICS, INC",1435 STATE ST,SANTA BARBARA,CA,93101,8058691200
450,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",3024 W FLORIDA AVE,HEMET,CA,92545,9517667626
454,"ELEVATION PROSTHETICS AND ORTHOTICS, INC.",106 N SUNRISE AVE STE C8,ROSEVILLE,CA,95661,9162977853
455,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",88 ROWLAND WAY STE 175,NOVATO,CA,94945,4158921502
461,"QUALITY CARE PROSTHETICS & ORTHOTICS, INC.",3610 MARTIN LUTHER KING JR BLVD,LYNWOOD,CA,90262,8007144521
462,HANGER PROSTHETICS & ORTHOTICS WEST INC,895 3RD AVE BLDG 2,CHULA VISTA,CA,91911,6195858421
465,HANGER PROSTHETICS & ORTHOTICS WEST INC,7863 LA MESA BLVD STE 100,LA MESA,CA,91942,6195899980
467,HANGER PROSTHETICS & ORTHOTICS WEST INC,1920 E KATELLA AVE STE G-I,ORANGE,CA,92867,7146397422
468,HANGER PROSTHETICS & ORTHOTICS WEST INC,1968 VIA CENTRE STE A,VISTA,CA,92081,7609411323
469,HANGER PROSTHETICS & ORTHOTICS WEST INC,475 N GRAPE ST,ESCONDIDO,CA,92025,7604890533
472,HANGER PROSTHETICS & ORTHOTICS WEST INC,1221 E SPRUCE AVE STE C,FRESNO,CA,93720,5592211933
473,HANGER PROSTHETICS & ORTHOTICS WEST INC,1319 W CARSON ST,TORRANCE,CA,90501,3103205777
474,HANGER PROSTHETICS & ORTHOTICS WEST INC,100 PACIFICA,IRVINE,CA,92618,9494083320
475,HANGER PROSTHETICS & ORTHOTICS WEST INC,7720 CARDINAL CT,SAN DIEGO,CA,92123,8582927448
476,HANGER PROSTHETICS & ORTHOTICS WEST INC,4150 REGENTS PARK ROW STE 265,LA JOLLA,CA,92037,8584531933
477,HANGER PROSTHETICS & ORTHOTICS WEST INC,31757 TEMECULA PKWY STE D,TEMECULA,CA,92592,9515067850
478,HANGER PROSTHETICS & ORTHOTICS WEST INC,26440 LA ALAMEDA STE 320,MISSION VIEJO,CA,92691,9493676600
479,HANGER PROSTHETICS & ORTHOTICS WEST INC,1600 S IMPERIAL AVE STE 15,EL CENTRO,CA,92243,7603360333
483,HANGER PROSTHETICS & ORTHOTICS WEST INC,2020 COLORADO AVE STE B,TURLOCK,CA,95382,2096349021
484,NORELL PROSTHETICS ORTHOTICS INC.,735 SUNRISE AVE STE 101,ROSEVILLE,CA,95661,5107709010
485,PIONEER ORTHOTICS AND PROSTHETICS,23672 BIRTCHER DR UNIT A,LAKE FOREST,CA,92630,9499459606
491,AMERICAN ORTHOTICS & PROSTHETICS,1800 WESTERN AVE STE 205,SAN BERNARDINO,CA,92411,9094739308
496,HANGER PROSTHETICS & ORTHOTICS WEST INC,7700 IMPERIAL HWY,DOWNEY,CA,90242,5622104810
500,"ACHILLES PROSTHETICS AND ORTHOTICS, INC",8800 STOCKDALE HWY STE 100,BAKERSFIELD,CA,93311,6613698903
519,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",23961 CALLE DE LA MAGDALENA STE 115,LAGUNA HILLS,CA,92653,9495813890
527,"DYNAMICS ORTHOTICS & PROSTHETICS, INC",2150 N WATERMAN AVE STE 301,SAN BERNARDINO,CA,92404,9098813612
529,"BEVERLY HILLS PROSTHETICS ORTHOTICS, INC.",15230 BURBANK BLVD,VAN NUYS,CA,91411,8189880033
544,ODYSSEY PROSTHETICS & ORTHOTICS INC.,738 S WATERMAN AVE STE A4,SAN BERNARDINO,CA,92408,9098900577
548,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",450 4TH AVE,CHULA VISTA,CA,91910,6194251835
550,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",29645 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,9096865325
567,HANGER PROSTHETICS & ORTHOTICS INC,969 PACIFIC ST STE B,MONTEREY,CA,93940,8316495347
568,HANGER PROSTHETICS & ORTHOTICS WEST INC,1477 LINCOLN ST,REDDING,CA,96001,5302437622
569,HANGER PROSTHETICS & ORTHOTICS WEST INC,155 MAIN ST,WOODLAND,CA,95695,5306621117
570,HANGER PROSTHETICS & ORTHOTICS WEST INC,270 COHASSET RD,CHICO,CA,95926,5303456864
571,HANGER PROSTHETICS & ORTHOTICS INC,2505 SAMARITAN DR,SAN JOSE,CA,95124,4083585366
572,HANGER PROSTHETICS & ORTHOTICS WEST INC,918 S FAIRMONT AVE,LODI,CA,95240,2093689683
573,HANGER PROSTHETICS & ORTHOTICS WEST INC,813 COURT ST,JACKSON,CA,95642,2093689683
574,ANCHOR ORTHOTICS & PROSTHETICS,3838 WATT AVE STE A110,SACRAMENTO,CA,95821,9164840685
575,HANGER PROSTHETICS & ORTHOTICS WEST INC,1256 32ND ST,SACRAMENTO,CA,95816,9164522218
576,HANGER PROSTHETICS & ORTHOTICS WEST INC.,6403 COYLE AVE,CARMICHAEL,CA,95608,9165361121
579,"VALLEY INSTITUTE OF PROSTHETICS & ORTHOTICS, INC",23033 LYONS AVE STE 6,NEWHALL,CA,91321,6612531191
580,"VALLEY INSTITUTE OF PROSTHETICS & ORTHOTICS, INC",44404 16TH ST W STE 108,LANCASTER,CA,93534,6619490504
595,PRECISION ORTHOTICS & PROSTHETICS INC,7143 SEVILLE AVE,HUNTINGTON PARK,CA,90255,2133885847
612,HANGER PROSTHETICS & ORTHOTICS WEST INC.,1177 IDAHO ST STE 101,REDLANDS,CA,92374,9097921900
613,HANGER PROSTHETICS & ORTHOTICS WEST INC,2930 E INLAND EMPIRE BLVD,ONTARIO,CA,91764,9097403820
614,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",1043 ELM AVE STE 202,LONG BEACH,CA,90813,5624322987
615,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",351 SANTA FE DR STE 240,ENCINITAS,CA,92024,7604791866
616,HANGER PROSTHETICS & ORTHOTICS WEST INC,7700 IMPERIAL HWY STE E2,DOWNEY,CA,90242,5628033322
617,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",1270 E GARVEY ST,COVINA,CA,91724,6269740031
618,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",341 MAGNOLIA AVE STE 105,CORONA,CA,92879,9518983614
619,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",1755 GRASS VALLEY HWY,AUBURN,CA,95603,5308233143
623,ADVANCED CARE PROSTHETICS AND ORTHOTICS,4929 WILSHIRE BLVD STE 720,LOS ANGELES,CA,90010,3238946888
625,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",1411 SECRET RAVINE PKWY,ROSEVILLE,CA,95661,9167846900
632,DIABLO PROSTHETICS & ORTHOTICS INC.,4479 STONERIDGE DR,PLEASANTON,CA,94588,9254646400
639,BIONICS ORTHOTICS AND PROSTHETICS INC.,3737 MORAGA AVE STE B107,SAN DIEGO,CA,92117,8582709972
641,BIONICS ORTHOTICS AND PROSTHETICS INC.,1553 GRAND AVE STE B,SAN MARCOS,CA,92078,8582709972
647,HANGER PROSTHETICS & ORTHOTICS WEST INC,1287 N TUSTIN AVE,ANAHEIM,CA,92807,7146352650
670,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",436 E YOSEMITE AVE STE C,MERCED,CA,95340,2097251295
682,HANGER PROSTHETICS & ORTHOTICS WEST INC,2773 HARRIS ST STE C,EUREKA,CA,95503,7074440116
683,HANGER PROSTHETICS & ORTHOTICS WEST INC,644 E HARDING WAY STE A,STOCKTON,CA,95204,2094662546
684,CROWN CITY ORTHOTICS AND PROSTHETICS LLC.,2824 E FOOTHILL BLVD,PASADENA,CA,91107,6264312890
685,HANGER PROSTHETICS & ORTHOTICS WEST INC,1707 MCHENRY AVE STE B,MODESTO,CA,95350,4158837221
686,MOLINA PROSTHETICS & ORTHOTICS,2222 MARTIN STE 212,IRVINE,CA,92612,9499887928
690,"HANGER PROSTHETICS & ORTHOTICS WEST, INC.",23451 MADISON ST STE 200,TORRANCE,CA,90505,3103737700
691,HANGER PROSTHETICS & ORTHOTICS WEST INC,13771 MONO WAY STE A,SONORA,CA,95370,2095324497
694,OEI PROSTHETICS AND ORTHOTICS,15216 VANOWEN ST STE 2B,VAN NUYS,CA,91405,8189943797
695,HANGER PROSTHETICS & ORTHOTICS WEST INC,1645 DONLON ST STE 102,VENTURA,CA,93003,8053390670
696,HANGER PROSTHETICS & ORTHOTICS WEST INC,2345 S BROADWAY,SANTA MARIA,CA,93454,8059258290
697,HANGER PROSTHETICS & ORTHOTICS WEST INC,3010 STATE ST,SANTA BARBARA,CA,93105,8056877508
698,HANGER PROSTHETICS & ORTHOTICS WEST INC,2151 N HARBOR BLVD STE 1200,FULLERTON,CA,92835,7148719960
699,HANGER PROSTHETICS & ORTHOTICS WEST INC,14450 HOOVER ST,WESTMINSTER,CA,92683,7143739888
700,HANGER PROSTHETICS & ORTHOTICS WEST INC,16520 HARBOR BLVD STE G,FOUNTAIN VALLEY,CA,92708,7142101298
